gene	subtype	type
capO	capO	chloramphenicol
L06156.1.gene1.p01	aminoglycoside__AAC(2')-Ia	aminoglycoside
U41471.1.gene1.p01	aminoglycoside__AAC(2')-Ib	aminoglycoside
YP_001848841	aminoglycoside__AAC(2')-Ic	aminoglycoside
YP_905232	aminoglycoside__AAC(2')-Ic	aminoglycoside
AE000516.2.gene277.p01	aminoglycoside__AAC(2')-Ic	aminoglycoside
U72743.1.gene1.p01	aminoglycoside__AAC(2')-Id	aminoglycoside
gb|CAC32082.1|ARO:3002527|AAC(2')-Ie	aminoglycoside__AAC(2')-Ie	aminoglycoside
gb|BAM16262.1|ARO:3004628|AAC(2')-IIa	aminoglycoside__AAC(2')-IIa	aminoglycoside
gb|APB03221.1|ARO:3003988|AAC(2')-IIb	aminoglycoside__AAC(2')-IIb	aminoglycoside
AAB20441	aminoglycoside__AAC(3)-Ia	aminoglycoside
AAC77497	aminoglycoside__AAC(3)-Ia	aminoglycoside
AAK12088	aminoglycoside__AAC(3)-Ia	aminoglycoside
AAN41440	aminoglycoside__AAC(3)-Ia	aminoglycoside
CAA08847	aminoglycoside__AAC(3)-Ia	aminoglycoside
CAI46944	aminoglycoside__AAC(3)-Ia	aminoglycoside
CAJ32498	aminoglycoside__AAC(3)-Ia	aminoglycoside
CAM88357	aminoglycoside__AAC(3)-Ia	aminoglycoside
gi|549637587|ref|WP_022542381.1|	aminoglycoside__AAC(3)-Ia	aminoglycoside
gi|645909098|ref|WP_025464514.1|	aminoglycoside__AAC(3)-Ia	aminoglycoside
gi|685918340|ref|WP_031655082.1|	aminoglycoside__AAC(3)-Ia	aminoglycoside
gi|690976387|ref|WP_031950771.1|	aminoglycoside__AAC(3)-Ia	aminoglycoside
gi|691072069|ref|WP_032013222.1|	aminoglycoside__AAC(3)-Ia	aminoglycoside
gi|730658257|ref|WP_034065477.1|	aminoglycoside__AAC(3)-Ia	aminoglycoside
